================================================================================
动销品管理记录 - 2025-10-25
表名: ROA1_IT
记录时间: 2025-12-04 20:11:45
================================================================================

【统计信息】
日期：2025-10-25
上升期：23个
非上升期：50个
新增上升期：0个
新增非上升期：0个
更新为上升期：1个
由非上升期重回上升期：1个
！！！由上升期到非上升期：7个

【上升期商品】
商品数量: 23个

603312359348101 - 加入时间: 2025-10-23, Reason: None
603357456513745 - 加入时间: 2025-10-25, Reason: None
603359603998652 - 加入时间: 2025-10-23, Reason: None
603382689452298 - 加入时间: 2025-10-25, Reason: None
603595827189707 - 加入时间: 2025-10-23, Reason: None
603602269642587 - 加入时间: 2025-10-23, Reason: None
603677431556579 - 加入时间: 2025-10-23, Reason: None
603683337153590 - 加入时间: 2025-10-29, Reason: None
603844935313639 - 加入时间: 2025-10-25, Reason: None
603886274320905 - 加入时间: 2025-10-23, Reason: None
603985327024039 - 加入时间: 2025-10-25, Reason: None
604076326642496 - 加入时间: 2025-10-23, Reason: None
604126792537948 - 加入时间: 2025-11-02, Reason: None
604179942722028 - 加入时间: 2025-10-31, Reason: None
604212154995525 - 加入时间: 2025-10-23, Reason: None
604271747637107 - 加入时间: 2025-10-23, Reason: None
604289464428497 - 加入时间: 2025-11-06, Reason: None
604291074989254 - 加入时间: 2025-10-11, Reason: None
604298054324108 - 加入时间: 2025-10-23, Reason: None
604313623610803 - 加入时间: 2025-10-19, Reason: None
604321676675178 - 加入时间: 2025-10-23, Reason: None
604354425799551 - 加入时间: 2025-10-23, Reason: None
604369458135583 - 加入时间: 2025-10-25, Reason: None

【非上升期商品】
商品数量: 103个

603305916897744 - 加入时间: 2025-11-26, Reason: None
603310748702256 - 加入时间: 2025-10-18, Reason: None
603312896234267 - 加入时间: 2025-11-29, Reason: None
603319338654667 - 加入时间: 2025-10-19, Reason: None
603333834198496 - 加入时间: 2025-10-25, Reason: None
603335444783246 - 加入时间: 2025-11-18, Reason: None
603342961012196 - 加入时间: 2025-10-20, Reason: None
603351014026964 - 加入时间: 2025-10-22, Reason: None
603360140824525 - 加入时间: 2025-10-11, Reason: None
603363898936936 - 加入时间: 2025-11-17, Reason: None
603363898951821 - 加入时间: 2025-10-14, Reason: None
603365509581427 - 加入时间: 2025-11-18, Reason: None
603370341423242 - 加入时间: 2025-11-12, Reason: None
603370878254875 - 加入时间: 2025-10-20, Reason: None
603385910638205 - 加入时间: 2025-10-29, Reason: None
603386984399770 - 加入时间: 2025-10-01, Reason: None
603387521257174 - 加入时间: 2025-11-22, Reason: None
603390205639228 - 加入时间: 2025-10-20, Reason: None
603404701128133 - 加入时间: 2025-10-19, Reason: None
603422417860766 - 加入时间: 2025-10-23, Reason: None
603422417896113 - 加入时间: 2025-10-23, Reason: None
603424028484586 - 加入时间: 2025-10-24, Reason: None
603426712820320 - 加入时间: 2025-10-31, Reason: None
603438523993022 - 加入时间: 2025-11-08, Reason: None
603441745253952 - 加入时间: 2025-11-30, Reason: None
603442818998272 - 加入时间: 2025-11-08, Reason: None
603464830672115 - 加入时间: 2025-10-28, Reason: None
603497042909440 - 加入时间: 2025-11-30, Reason: None
603501874745373 - 加入时间: 2025-10-19, Reason: None
603557172490875 - 加入时间: 2025-10-07, Reason: None
603578110458188 - 加入时间: 2025-10-27, Reason: None
603613543926116 - 加入时间: 2025-11-24, Reason: None
603615691416738 - 加入时间: 2025-11-19, Reason: None
603619986362723 - 加入时间: 2025-11-28, Reason: None
603633944993329 - 加入时间: 2025-10-13, Reason: None
603635018782322 - 加入时间: 2025-10-11, Reason: None
603641461186839 - 加入时间: 2025-10-15, Reason: None
603641461213529 - 加入时间: 2025-11-28, Reason: None
603653272362468 - 加入时间: 2025-10-18, Reason: None
603654346121092 - 加入时间: 2025-10-26, Reason: None
603657567359142 - 加入时间: 2025-10-20, Reason: None
603672599744760 - 加入时间: 2025-11-25, Reason: None
603680115903751 - 加入时间: 2025-10-26, Reason: None
