================================================================================
动销品管理记录 - 2025-11-09
表名: ROA1_FR
记录时间: 2025-12-19 10:46:47
================================================================================

【统计信息】
日期：2025-11-09
前一天上升期：30个
计算上升期：33个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：32个（选定日期Status=1的数量）
差值：1个
非上升期：94个
新增上升期：6个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：5个
！！！由上升期到非上升期：8个

【新增上升期商品ID】
商品数量: 6个
goods_id: 603528718302167, 603737561118299, 603826144811342, 604090822176179, 604252084791138, 604287853808360

【由非上升期重回上升期商品ID】
商品数量: 5个
goods_id: 603418391343943, 603839566603049, 604181553361271, 604244367222542, 604376974334612

【！！！由上升期到非上升期商品ID】
商品数量: 8个
goods_id: 603459461950163, 603460535720673, 603588311003574, 603649514279178, 604066662992813, 604107465146953, 604168131599498, 604196585701718

【上升期商品】
商品数量: 32个

603304843140287 - 加入时间: 2025-11-07, Reason: None
603326318000762 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted
603373025725624 - 加入时间: 2025-11-08, Reason: Secondary_traffic_restricted
603379468218204 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
603418391343943 - 加入时间: 2025-11-01, Reason: None
603514222811762 - 加入时间: 2025-11-03, Reason: None
603528718302167 - 加入时间: 2025-11-09, Reason: Secondary_traffic_restricted
603549119404490 - 加入时间: 2025-11-07, Reason: Secondary_traffic_restricted
603636092482087 - 加入时间: 2025-11-03, Reason: None
603724676178475 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
603725213087312 - 加入时间: 2025-11-06, Reason: Out_of_stock
603737561118299 - 加入时间: 2025-11-09, Reason: Secondary_traffic_restricted
603741856069157 - 加入时间: 2025-11-05, Reason: Secondary_traffic_restricted
603826144811342 - 加入时间: 2025-11-09, Reason: Secondary_traffic_restricted
603839566603049 - 加入时间: 2025-10-30, Reason: None
603948551362845 - 加入时间: 2025-11-06, Reason: Secondary_traffic_restricted
603958215022335 - 加入时间: 2025-11-02, Reason: Out_of_stock
604039819425299 - 加入时间: 2025-11-06, Reason: Secondary_traffic_restricted
604053241168853 - 加入时间: 2025-10-31, Reason: None
