================================================================================
动销品管理记录 - 2025-11-27
表名: ROA1_CZ
记录时间: 2026-01-14 13:52:21
================================================================================

【统计信息】
日期：2025-11-27
前一天上升期：10个
计算上升期：8个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：0个（选定日期Status=1的数量）
差值：8个
非上升期：155个
新增上升期：0个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：2个

【！！！由上升期到非上升期商品ID】
商品数量: 2个
goods_id: 603445503343547, 603546971944866

【非上升期商品】
商品数量: 155个

603302158786988 - 加入时间: 2025-12-04, Reason: None
603303769421738 - 加入时间: 2025-11-12, Reason: None
603310748740879 - 加入时间: 2026-01-06, Reason: None
603313433052557 - 加入时间: 2025-11-21, Reason: None
603315043674288 - 加入时间: 2026-01-03, Reason: None
603316654310430 - 加入时间: 2025-11-07, Reason: None
603327928595218 - 加入时间: 2025-11-12, Reason: None
603330612946565 - 加入时间: 2025-12-06, Reason: None
603347792809269 - 加入时间: 2025-11-26, Reason: None
603357993349144 - 加入时间: 2025-12-28, Reason: None
603359604004332 - 加入时间: 2025-10-16, Reason: None
603364972672572 - 加入时间: 2025-11-01, Reason: None
603368193904906 - 加入时间: 2025-11-06, Reason: None
603375710103167 - 加入时间: 2025-12-16, Reason: None
603376783844025 - 加入时间: 2026-01-12, Reason: None
603378931348375 - 加入时间: 2026-01-06, Reason: None
603397184932661 - 加入时间: 2025-12-07, Reason: None
603398258712347 - 加入时间: 2025-11-18, Reason: None
603404701136521 - 加入时间: 2025-11-12, Reason: None
603407922395014 - 加入时间: 2026-01-13, Reason: None
603414364818605 - 加入时间: 2025-12-11, Reason: None
603415438535197 - 加入时间: 2025-12-10, Reason: None
603415975457972 - 加入时间: 2025-12-01, Reason: None
603432618433252 - 加入时间: 2025-11-24, Reason: None
603432618433261 - 加入时间: 2025-12-11, Reason: None
603433692143142 - 加入时间: 2026-01-06, Reason: None
603443355832103 - 加入时间: 2025-11-22, Reason: None
603443892738961 - 加入时间: 2025-12-09, Reason: None
603445503343547 - 加入时间: 2025-11-26, Reason: None
603447650833824 - 加入时间: 2025-11-22, Reason: None
603453220844366 - 加入时间: 2025-11-26, Reason: None
603461072568863 - 加入时间: 2026-01-12, Reason: None
603469662496997 - 加入时间: 2025-12-06, Reason: None
603475568116791 - 加入时间: 2026-01-08, Reason: None
603478252443997 - 加入时间: 2025-12-18, Reason: None
603478789303116 - 加入时间: 2025-11-19, Reason: None
603486305537160 - 加入时间: 2025-12-09, Reason: None
603486842403303 - 加入时间: 2025-12-29, Reason: None
603504022256758 - 加入时间: 2025-12-12, Reason: None
603508317238898 - 加入时间: 2026-01-02, Reason: None
603514222788356 - 加入时间: 2025-12-03, Reason: None
603516370290938 - 加入时间: 2025-11-07, Reason: None
603524960199951 - 加入时间: 2025-12-10, Reason: None
603526235289579 - 加入时间: 2025-12-10, Reason: None
603537845140509 - 加入时间: 2026-01-04, Reason: None
603538918846769 - 加入时间: 2026-01-08, Reason: None
603544287557765 - 加入时间: 2025-12-26, Reason: None
603546971944866 - 加入时间: 2025-11-25, Reason: None
603563614899971 - 加入时间: 2025-11-19, Reason: None
603570057391407 - 加入时间: 2025-10-27, Reason: None
603570594218116 - 加入时间: 2025-12-07, Reason: None
603578647341394 - 加入时间: 2025-12-16, Reason: None
603595827173012 - 加入时间: 2025-12-09, Reason: None
603603343392543 - 加入时间: 2025-11-20, Reason: None
603619449474918 - 加入时间: 2025-11-25, Reason: None
603619986406974 - 加入时间: 2025-12-14, Reason: None
603631260694230 - 加入时间: 2025-12-18, Reason: None
603641998066304 - 加入时间: 2026-01-11, Reason: None
603681726507653 - 加入时间: 2025-11-24, Reason: None
603688168981768 - 加入时间: 2025-12-09, Reason: None
603725749958822 - 加入时间: 2025-12-05, Reason: None
603731118683172 - 加入时间: 2025-11-24, Reason: None
603731655505714 - 加入时间: 2025-11-19, Reason: None
603745077308490 - 加入时间: 2025-11-11, Reason: None
603746151028095 - 加入时间: 2025-10-03, Reason: None
603746151045428 - 加入时间: 2025-11-23, Reason: None
603763330922125 - 加入时间: 2025-12-05, Reason: None
603766015274227 - 加入时间: 2025-11-18, Reason: None
603774605174924 - 加入时间: 2025-11-23, Reason: None
603780510796513 - 加入时间: 2025-11-20, Reason: None
603784805741923 - 加入时间: 2025-11-08, Reason: None
603790174453558 - 加入时间: 2026-01-07, Reason: None
603800375029375 - 加入时间: 2025-11-24, Reason: None
603801985593057 - 加入时间: 2025-11-21, Reason: None
603810575525573 - 加入时间: 2025-11-17, Reason: None
603821849833267 - 加入时间: 2025-12-05, Reason: None
603827755417129 - 加入时间: 2025-12-14, Reason: None
603835472907968 - 加入时间: 2025-12-06, Reason: None
603849230264358 - 加入时间: 2025-12-09, Reason: None
603853525251903 - 加入时间: 2025-11-20, Reason: None
603864799512818 - 加入时间: 2025-12-07, Reason: None
603867483882812 - 加入时间: 2025-12-07, Reason: None
603869631327003 - 加入时间: 2025-12-06, Reason: None
603875000043879 - 加入时间: 2025-12-13, Reason: None
603877147533466 - 加入时间: 2025-11-22, Reason: None
