================================================================================
动销品管理记录 - 2025-12-02
表名: ROA1_NL
记录时间: 2025-12-04 15:01:02
================================================================================

【统计信息】
日期：2025-12-02
上升期：15个
非上升期：206个
新增上升期：0个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：1个
！！！由上升期到非上升期：9个

【上升期商品】
商品数量: 15个

603308064391983 - 加入时间: 2025-12-02, Reason: None
603439060876765 - 加入时间: 2025-12-01, Reason: None
603484158016349 - 加入时间: 2025-12-01, Reason: None
603557172509184 - 加入时间: 2025-12-01, Reason: None
603701590784915 - 加入时间: 2025-12-01, Reason: None
603771920812416 - 加入时间: 2025-12-01, Reason: None
603834197855872 - 加入时间: 2025-12-01, Reason: None
603943719544619 - 加入时间: 2025-12-01, Reason: None
604042503756393 - 加入时间: 2025-12-01, Reason: None
604076863496515 - 加入时间: 2025-12-01, Reason: None
604156857315757 - 加入时间: 2025-12-01, Reason: None
604160615360346 - 加入时间: 2025-12-01, Reason: None
604257252167443 - 加入时间: 2025-12-01, Reason: None
604298591218283 - 加入时间: 2025-12-01, Reason: None
604371068776980 - 加入时间: 2025-12-01, Reason: None

【非上升期商品】
商品数量: 206个

603299474452993 - 加入时间: 2025-12-01, Reason: None
603302158825258 - 加入时间: 2025-12-01, Reason: None
603303769385858 - 加入时间: 2025-12-01, Reason: None
603306453746243 - 加入时间: 2025-12-02, Reason: None
603306453771174 - 加入时间: 2025-12-01, Reason: None
603310211880431 - 加入时间: 2025-12-01, Reason: None
603310748701195 - 加入时间: 2025-12-01, Reason: None
603310748744695 - 加入时间: 2025-12-01, Reason: None
603316654318728 - 加入时间: 2025-12-01, Reason: None
603318264920012 - 加入时间: 2025-12-01, Reason: None
603318801803028 - 加入时间: 2025-12-01, Reason: None
603327391737079 - 加入时间: 2025-12-01, Reason: None
603329539233992 - 加入时间: 2025-12-01, Reason: None
603344571588104 - 加入时间: 2025-12-01, Reason: None
603349403413787 - 加入时间: 2025-12-01, Reason: None
603349403430478 - 加入时间: 2025-12-01, Reason: None
603351014060868 - 加入时间: 2025-12-01, Reason: None
603353698375392 - 加入时间: 2025-12-01, Reason: None
603361751456162 - 加入时间: 2025-12-01, Reason: None
603375173248923 - 加入时间: 2025-12-01, Reason: None
603380541928140 - 加入时间: 2025-12-01, Reason: None
603389668752686 - 加入时间: 2025-12-01, Reason: None
603392353076302 - 加入时间: 2025-12-01, Reason: None
603396111219650 - 加入时间: 2025-12-01, Reason: None
603398258661005 - 加入时间: 2025-12-01, Reason: None
603398258692269 - 加入时间: 2025-12-01, Reason: None
603405237997349 - 加入时间: 2025-12-01, Reason: None
603408996119766 - 加入时间: 2025-12-01, Reason: None
603413291103358 - 加入时间: 2025-12-01, Reason: None
603419196652248 - 加入时间: 2025-12-01, Reason: None
603426712825913 - 加入时间: 2025-12-01, Reason: None
603428323450894 - 加入时间: 2025-12-01, Reason: None
603433155298084 - 加入时间: 2025-12-01, Reason: None
603436913399548 - 加入时间: 2025-12-01, Reason: None
603439060864782 - 加入时间: 2025-12-01, Reason: None
603439597768831 - 加入时间: 2025-12-02, Reason: None
603447650790506 - 加入时间: 2025-12-01, Reason: None
