================================================================================
动销品管理记录 - 2025-12-03
表名: ROA1_DE
记录时间: 2025-12-04 21:06:02
================================================================================

【统计信息】
日期：2025-12-03
上升期：30个
非上升期：188个
新增上升期：0个
新增非上升期：0个
更新为上升期：4个
由非上升期重回上升期：9个
！！！由上升期到非上升期：9个

【上升期商品】
商品数量: 30个

603316117421237 - 加入时间: 2025-12-02, Reason: None
603346719093770 - 加入时间: 2025-12-03, Reason: None
603405976222031 - 加入时间: 2025-11-29, Reason: None
603409533008324 - 加入时间: 2025-11-27, Reason: None
603457314465942 - 加入时间: 2025-11-22, Reason: None
603482547445019 - 加入时间: 2025-12-02, Reason: None
603498116701423 - 加入时间: 2025-12-03, Reason: None
603560393682204 - 加入时间: 2025-11-30, Reason: None
603577036704966 - 加入时间: 2025-12-02, Reason: None
603620523257725 - 加入时间: 2025-12-03, Reason: None
603641461218974 - 加入时间: 2025-12-03, Reason: None
603658641105830 - 加入时间: 2025-12-03, Reason: None
603722528730529 - 加入时间: 2025-12-03, Reason: None
603771048442145 - 加入时间: 2025-12-03, Reason: None
603866410118574 - 加入时间: 2025-11-19, Reason: None
603870705119830 - 加入时间: 2025-12-03, Reason: None
603876073778814 - 加入时间: 2025-11-28, Reason: None
603885737489899 - 加入时间: 2025-12-03, Reason: None
603890032436844 - 加入时间: 2025-12-02, Reason: None
604027471391280 - 加入时间: 2025-12-03, Reason: None
604036061356938 - 加入时间: 2025-12-03, Reason: None
604074716008041 - 加入时间: 2025-12-03, Reason: None
604080084777782 - 加入时间: 2025-11-29, Reason: None
604089211556307 - 加入时间: 2025-12-01, Reason: None
604154172957242 - 加入时间: 2025-11-16, Reason: None
604172426534640 - 加入时间: 2025-12-03, Reason: None
604242756611386 - 加入时间: 2025-12-03, Reason: None
604242756662811 - 加入时间: 2025-11-29, Reason: None
604271747643707 - 加入时间: 2025-11-27, Reason: None
604363015696109 - 加入时间: 2025-12-03, Reason: None

【非上升期商品】
商品数量: 248个

603302158793277 - 加入时间: 2025-11-03, Reason: None
603305916891116 - 加入时间: 2025-11-09, Reason: None
603306453776259 - 加入时间: 2025-11-23, Reason: None
603314506828325 - 加入时间: 2025-11-26, Reason: None
603317728066711 - 加入时间: 2025-11-23, Reason: None
603327391735530 - 加入时间: 2025-11-16, Reason: None
603327391744111 - 加入时间: 2025-10-21, Reason: None
603338129140528 - 加入时间: 2025-11-11, Reason: None
603342424105089 - 加入时间: 2025-11-07, Reason: None
603353161555620 - 加入时间: 2025-11-21, Reason: None
603354436629911 - 加入时间: 2025-11-16, Reason: None
603357456471625 - 加入时间: 2025-11-05, Reason: None
603360140885335 - 加入时间: 2025-11-26, Reason: None
603361751451769 - 加入时间: 2025-10-16, Reason: None
603367321481464 - 加入时间: 2025-12-01, Reason: None
603370878259941 - 加入时间: 2025-11-26, Reason: None
603370878265867 - 加入时间: 2025-11-04, Reason: None
603376783825817 - 加入时间: 2025-11-27, Reason: None
