================================================================================
动销品管理记录 - 2025-12-16
表名: ROA1_PL
记录时间: 2025-12-17 18:13:24
================================================================================

【统计信息】
日期：2025-12-16
上升期：1个
非上升期：78个
新增上升期：0个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：4个

【上升期商品】
商品数量: 1个

603585089790112 - 加入时间: 2025-12-16, Reason: None

【非上升期商品】
商品数量: 152个

603302158793653 - 加入时间: 2025-10-07, Reason: None
603304306270920 - 加入时间: 2025-10-02, Reason: None
603315043666569 - 加入时间: 2025-11-26, Reason: None
603316654330899 - 加入时间: 2025-11-23, Reason: None
603327928609310 - 加入时间: 2025-10-12, Reason: None
603329002339571 - 加入时间: 2025-10-28, Reason: None
603331149801706 - 加入时间: 2025-12-15, Reason: None
603333297275323 - 加入时间: 2025-11-23, Reason: None
603338666045943 - 加入时间: 2025-11-13, Reason: None
603346182214227 - 加入时间: 2025-11-21, Reason: None
603353161499979 - 加入时间: 2025-11-09, Reason: None
603373025727388 - 加入时间: 2025-11-16, Reason: None
603380541934679 - 加入时间: 2025-12-03, Reason: None
603385373809840 - 加入时间: 2025-10-10, Reason: None
603388595004758 - 加入时间: 2025-11-26, Reason: None
603390205620387 - 加入时间: 2025-11-11, Reason: None
603396111185593 - 加入时间: 2025-11-25, Reason: None
603402016816536 - 加入时间: 2025-11-26, Reason: None
603414901702707 - 加入时间: 2025-11-05, Reason: None
603451945795034 - 加入时间: 2025-11-02, Reason: None
603454093233450 - 加入时间: 2025-11-26, Reason: None
603458925091292 - 加入时间: 2025-11-25, Reason: None
603460535742827 - 加入时间: 2025-10-31, Reason: None
603461072597785 - 加入时间: 2025-11-03, Reason: None
603462683171264 - 加入时间: 2025-11-21, Reason: None
603469930946849 - 加入时间: 2025-11-04, Reason: None
603488452972438 - 加入时间: 2025-12-10, Reason: None
603496170498515 - 加入时间: 2025-11-22, Reason: None
603501874757179 - 加入时间: 2025-12-01, Reason: None
603523349601740 - 加入时间: 2025-11-16, Reason: None
603533013295829 - 加入时间: 2025-11-21, Reason: None
603543750700733 - 加入时间: 2025-12-15, Reason: None
603544824457900 - 加入时间: 2025-12-13, Reason: None
603550193181969 - 加入时间: 2025-10-14, Reason: None
603555561847984 - 加入时间: 2025-11-06, Reason: None
603555561859392 - 加入时间: 2025-11-05, Reason: None
603573010154945 - 加入时间: 2025-10-26, Reason: None
603574352324346 - 加入时间: 2025-10-31, Reason: None
603579184154028 - 加入时间: 2025-12-09, Reason: None
603581331640333 - 加入时间: 2025-11-04, Reason: None
603583479120240 - 加入时间: 2025-10-15, Reason: None
603586700402624 - 加入时间: 2025-10-12, Reason: None
603604953998646 - 加入时间: 2025-12-01, Reason: None
603624818196428 - 加入时间: 2025-12-06, Reason: None
603641998074019 - 加入时间: 2025-12-02, Reason: None
603646829945357 - 加入时间: 2025-10-04, Reason: None
603659714809538 - 加入时间: 2025-12-02, Reason: None
603661862315548 - 加入时间: 2025-12-09, Reason: None
603664009765811 - 加入时间: 2025-12-16, Reason: None
603665083558101 - 加入时间: 2025-11-09, Reason: None
603665620372049 - 加入时间: 2025-11-21, Reason: None
603682263420796 - 加入时间: 2025-12-02, Reason: None
603691927047911 - 加入时间: 2025-12-12, Reason: None
603691927094843 - 加入时间: 2025-10-29, Reason: None
603695148309935 - 加入时间: 2025-11-23, Reason: None
603703738260165 - 加入时间: 2025-12-12, Reason: None
603719844351989 - 加入时间: 2025-10-15, Reason: None
603727360529033 - 加入时间: 2025-11-21, Reason: None
603733266123293 - 加入时间: 2025-11-22, Reason: None
603733802999760 - 加入时间: 2025-10-15, Reason: None
603735413631611 - 加入时间: 2025-11-17, Reason: None
603753868544901 - 加入时间: 2025-11-19, Reason: None
603754204088453 - 加入时间: 2025-11-23, Reason: None
603763330933336 - 加入时间: 2025-12-07, Reason: None
603767089034435 - 加入时间: 2025-10-12, Reason: None
603770310240296 - 加入时间: 2025-12-04, Reason: None
603776752668790 - 加入时间: 2025-11-21, Reason: None
603777826421845 - 加入时间: 2025-11-18, Reason: None
603782658279666 - 加入时间: 2025-11-26, Reason: None
603784268905524 - 加入时间: 2025-10-07, Reason: None
603785342621543 - 加入时间: 2025-11-21, Reason: None
603797153803631 - 加入时间: 2025-10-19, Reason: None
603815407414782 - 加入时间: 2025-11-19, Reason: None
603831513538349 - 加入时间: 2025-12-14, Reason: None
603842250918399 - 加入时间: 2025-12-13, Reason: None
603848693354511 - 加入时间: 2025-10-17, Reason: None
603857820173443 - 加入时间: 2025-10-12, Reason: None
603857820177742 - 加入时间: 2025-11-03, Reason: None
603860504563435 - 加入时间: 2025-10-23, Reason: None
603875000033054 - 加入时间: 2025-10-27, Reason: None
603877684390143 - 加入时间: 2025-12-12, Reason: None
603892179956722 - 加入时间: 2025-11-15, Reason: None
603909896679323 - 加入时间: 2025-10-08, Reason: None
603910970380140 - 加入时间: 2025-12-14, Reason: None
603911507265770 - 加入时间: 2025-12-12, Reason: None
603913654781949 - 加入时间: 2025-12-01, Reason: None
603917949735561 - 加入时间: 2025-10-09, Reason: None
603919560349506 - 加入时间: 2025-10-31, Reason: None
