================================================================================
动销品管理记录 - 2025-12-19
表名: ROA1_IT
记录时间: 2026-01-13 16:50:30
================================================================================

【统计信息】
日期：2025-12-19
前一天上升期：21个
计算上升期：21个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：21个（选定日期Status=1的数量）
差值：0个
非上升期：605个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：4个
！！！由上升期到非上升期：5个

【新增上升期商品ID】
商品数量: 1个
goods_id: 603340813518315

【由非上升期重回上升期商品ID】
商品数量: 4个
goods_id: 603372270760802, 603505095979799, 603640387440388, 603889495573287

【！！！由上升期到非上升期商品ID】
商品数量: 5个
goods_id: 603617838903271, 603728434306468, 603798227500003, 603971636823743, 604256715296309

【上升期商品】
商品数量: 21个

603340813518315 - 加入时间: 2025-12-19, Reason: None
603367120201068 - 加入时间: 2025-11-25, Reason: None
603370878285022 - 加入时间: 2025-12-15, Reason: None
603372270760802 - 加入时间: 2025-12-18, Reason: None
603377320701556 - 加入时间: 2025-12-14, Reason: None
603479644953705 - 加入时间: 2025-12-16, Reason: None
603505095979799 - 加入时间: 2025-12-04, Reason: Secondary_traffic_restricted
603517444021504 - 加入时间: 2025-12-15, Reason: None
603557172490875 - 加入时间: 2025-10-01, Reason: None
603571668011637 - 加入时间: 2025-12-16, Reason: None
603625019557698 - 加入时间: 2025-12-12, Reason: Secondary_traffic_restricted
603636092530997 - 加入时间: 2025-11-20, Reason: None
603640387440388 - 加入时间: 2025-12-17, Reason: None
603675820957613 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603696222012948 - 加入时间: 2025-12-15, Reason: None
603889495573287 - 加入时间: 2025-11-14, Reason: None
603917949723394 - 加入时间: 2025-12-13, Reason: Secondary_traffic_restricted
603975931774578 - 加入时间: 2025-12-17, Reason: None
604026934495588 - 加入时间: 2025-12-15, Reason: None
604110686399525 - 加入时间: 2025-12-16, Reason: None
604265305242670 - 加入时间: 2025-11-21, Reason: None

【非上升期商品】
商品数量: 605个

603303232548223 - 加入时间: 2025-12-10, Reason: None
603304306284379 - 加入时间: 2025-11-18, Reason: Secondary_traffic_restricted
603305916897744 - 加入时间: 2025-11-26, Reason: None
603308064342272 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603308064405054 - 加入时间: 2025-11-07, Reason: Secondary_traffic_restricted
603310211846379 - 加入时间: 2025-11-28, Reason: Secondary_traffic_restricted
603310748702256 - 加入时间: 2025-10-10, Reason: Out_of_stock
603310748705204 - 加入时间: 2025-12-15, Reason: Secondary_traffic_restricted
603312359348101 - 加入时间: 2025-10-22, Reason: Secondary_traffic_restricted
603312896234267 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
603314506821671 - 加入时间: 2025-11-04, Reason: Out_of_stock
603315580593390 - 加入时间: 2025-12-18, Reason: None
603317728053999 - 加入时间: 2025-11-19, Reason: None
603319338654667 - 加入时间: 2025-10-19, Reason: Secondary_traffic_restricted
603322559915596 - 加入时间: 2025-11-24, Reason: Secondary_traffic_restricted
