================================================================================
动销品管理记录 - 2026-01-11
表名: ROA1_PL
记录时间: 2026-01-19 01:44:38
================================================================================

【统计信息】
日期：2026-01-11
前一天上升期：0个
计算上升期：0个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：0个（选定日期Status=1的数量）
差值：0个
非上升期：173个
新增上升期：0个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：0个

【非上升期商品】
商品数量: 171个

603302158793653 - 加入时间: 2025-10-07, Reason: None
603304306270920 - 加入时间: 2025-10-02, Reason: Secondary_traffic_restricted
603315043666569 - 加入时间: 2025-11-26, Reason: Secondary_traffic_restricted
603316654330899 - 加入时间: 2025-11-19, Reason: None
603327928609310 - 加入时间: 2025-10-10, Reason: Out_of_stock
603329002339571 - 加入时间: 2025-10-24, Reason: Secondary_traffic_restricted
603331149801706 - 加入时间: 2025-12-15, Reason: None
603333297275323 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
603338666045943 - 加入时间: 2025-11-11, Reason: Secondary_traffic_restricted
603346182214227 - 加入时间: 2025-11-09, Reason: None
603353161499979 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted
603373025727388 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
603380541934679 - 加入时间: 2025-12-02, Reason: Out_of_stock
603385373809840 - 加入时间: 2025-10-08, Reason: Secondary_traffic_restricted
603388595004758 - 加入时间: 2025-11-26, Reason: Out_of_stock
603390205620387 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted
603396111185593 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
603402016816536 - 加入时间: 2025-11-26, Reason: Secondary_traffic_restricted
603414901702707 - 加入时间: 2025-11-05, Reason: Secondary_traffic_restricted
603415975455508 - 加入时间: 2025-12-22, Reason: None
603451945795034 - 加入时间: 2025-10-31, Reason: Secondary_traffic_restricted
603454093233450 - 加入时间: 2025-11-23, Reason: None
603458925091292 - 加入时间: 2025-11-20, Reason: Out_of_stock
603460535742827 - 加入时间: 2025-10-28, Reason: Secondary_traffic_restricted
603461072597785 - 加入时间: 2025-11-01, Reason: Out_of_stock
603462683171264 - 加入时间: 2025-11-20, Reason: None
603469930946849 - 加入时间: 2025-11-04, Reason: Out_of_stock
603488452972438 - 加入时间: 2025-12-10, Reason: None
603492747959460 - 加入时间: 2025-12-23, Reason: None
603496170498515 - 加入时间: 2025-11-19, Reason: None
603501874757179 - 加入时间: 2025-12-01, Reason: Out_of_stock
603523349601740 - 加入时间: 2025-11-12, Reason: None
603533013295829 - 加入时间: 2025-11-21, Reason: Secondary_traffic_restricted
603539120176303 - 加入时间: 2025-12-29, Reason: None
603543750700733 - 加入时间: 2025-12-15, Reason: None
603544824457900 - 加入时间: 2025-12-13, Reason: Secondary_traffic_restricted
603550193181969 - 加入时间: 2025-10-13, Reason: Secondary_traffic_restricted
603555561847984 - 加入时间: 2025-10-26, Reason: None
603555561859392 - 加入时间: 2025-11-05, Reason: Out_of_stock
603573010154945 - 加入时间: 2025-10-19, Reason: Secondary_traffic_restricted
603574352324346 - 加入时间: 2025-10-28, Reason: Secondary_traffic_restricted
603579184154028 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603581331640333 - 加入时间: 2025-11-03, Reason: Out_of_stock
603583479120240 - 加入时间: 2025-10-07, Reason: Out_of_stock
603585089790112 - 加入时间: 2025-12-16, Reason: Secondary_traffic_restricted
603586700402624 - 加入时间: 2025-10-12, Reason: None
603604953998646 - 加入时间: 2025-11-26, Reason: None
603606564586658 - 加入时间: 2025-12-20, Reason: None
603624818196428 - 加入时间: 2025-12-05, Reason: Out_of_stock
603630723811115 - 加入时间: 2025-12-20, Reason: None
603641998074019 - 加入时间: 2025-12-02, Reason: None
603646829945357 - 加入时间: 2025-10-02, Reason: Out_of_stock
603659714809538 - 加入时间: 2025-12-02, Reason: None
603661862315548 - 加入时间: 2025-12-07, Reason: None
603664009765811 - 加入时间: 2025-12-16, Reason: None
603665083558101 - 加入时间: 2025-11-06, Reason: Secondary_traffic_restricted
603665620372049 - 加入时间: 2025-11-20, Reason: Secondary_traffic_restricted
603667230994144 - 加入时间: 2025-12-19, Reason: None
