================================================================================
动销品管理记录 - 2026-01-14
表名: ROA1_DE
记录时间: 2026-01-15 20:01:39
================================================================================

【统计信息】
日期：2026-01-14
前一天上升期：1个
计算上升期：2个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：1个（选定日期Status=1的数量）
差值：1个
非上升期：226个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：0个

【新增上升期商品ID】
商品数量: 1个
goods_id: 604251883428774

【上升期商品】
商品数量: 1个

604251883428774 - 加入时间: 2026-01-14, Reason: None

【非上升期商品】
商品数量: 226个

603302158793277 - 加入时间: 2025-11-03, Reason: Out_of_stock
603303769413257 - 加入时间: 2026-01-03, Reason: Secondary_traffic_restricted
603305916891116 - 加入时间: 2025-11-09, Reason: Secondary_traffic_restricted
603306990658734 - 加入时间: 2025-12-29, Reason: Secondary_traffic_restricted
603316117421237 - 加入时间: 2025-12-02, Reason: Secondary_traffic_restricted
603324371798280 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603327391735530 - 加入时间: 2025-11-05, Reason: Secondary_traffic_restricted
603327391744111 - 加入时间: 2025-10-20, Reason: Blocked
603337256715159 - 加入时间: 2025-12-04, Reason: Blocked
603337256756311 - 加入时间: 2026-01-14, Reason: None
603338129140528 - 加入时间: 2025-11-08, Reason: Secondary_traffic_restricted
603342424105089 - 加入时间: 2025-11-07, Reason: None
603346719093770 - 加入时间: 2025-12-01, Reason: Blocked (Children)
603353161555620 - 加入时间: 2025-11-21, Reason: Out_of_stock
603355309029135 - 加入时间: 2026-01-08, Reason: None
603357456471625 - 加入时间: 2025-11-05, Reason: Secondary_traffic_restricted
603358530211323 - 加入时间: 2025-12-15, Reason: Secondary_traffic_restricted
603361751451769 - 加入时间: 2025-10-16, Reason: None
603367321481464 - 加入时间: 2025-12-01, Reason: Out_of_stock
603370878265867 - 加入时间: 2025-11-02, Reason: Secondary_traffic_restricted
603376783825817 - 加入时间: 2025-11-27, Reason: Out_of_stock
603376783844534 - 加入时间: 2025-11-23, Reason: Out_of_stock
603376783883455 - 加入时间: 2025-11-20, Reason: Out_of_stock
603379468177370 - 加入时间: 2025-11-26, Reason: Out_of_stock
603391816257393 - 加入时间: 2025-12-06, Reason: Secondary_traffic_restricted
603393963705632 - 加入时间: 2025-10-26, Reason: None
603396648096081 - 加入时间: 2025-11-26, Reason: Out_of_stock
603399332404501 - 加入时间: 2025-11-16, Reason: Secondary_traffic_restricted
603426175999012 - 加入时间: 2026-01-07, Reason: None
603428323444097 - 加入时间: 2025-10-22, Reason: Secondary_traffic_restricted
603430470920939 - 加入时间: 2025-10-26, Reason: Out_of_stock
603436376523383 - 加入时间: 2025-12-04, Reason: Secondary_traffic_restricted
603443355816496 - 加入时间: 2025-11-01, Reason: Out_of_stock
603448187688685 - 加入时间: 2025-10-24, Reason: None
603454630107932 - 加入时间: 2025-12-01, Reason: Out_of_stock
603457314465942 - 加入时间: 2025-11-19, Reason: Out_of_stock
603461609486006 - 加入时间: 2025-11-13, Reason: Out_of_stock
603477715562289 - 加入时间: 2026-01-01, Reason: Secondary_traffic_restricted
603482547445019 - 加入时间: 2025-12-02, Reason: Secondary_traffic_restricted
603486842383239 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted
603490600482607 - 加入时间: 2025-11-25, Reason: Out_of_stock
603491137362179 - 加入时间: 2025-11-07, Reason: Secondary_traffic_restricted
603498116701423 - 加入时间: 2025-12-02, Reason: Out_of_stock
603509927814085 - 加入时间: 2025-10-21, Reason: Secondary_traffic_restricted
603514222786467 - 加入时间: 2025-12-02, Reason: Secondary_traffic_restricted
603515833409662 - 加入时间: 2025-11-08, Reason: Secondary_traffic_restricted
603524960213993 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
603524960252619 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603529255210598 - 加入时间: 2025-10-20, Reason: None
603536234495103 - 加入时间: 2025-12-11, Reason: Secondary_traffic_restricted
603538381969257 - 加入时间: 2025-10-26, Reason: Secondary_traffic_restricted
603539455766283 - 加入时间: 2025-10-31, Reason: Secondary_traffic_restricted
603544287601573 - 加入时间: 2026-01-03, Reason: Secondary_traffic_restricted
603546435088910 - 加入时间: 2025-11-28, Reason: Out_of_stock
603553414361934 - 加入时间: 2025-11-11, Reason: Secondary_traffic_restricted
603560393673551 - 加入时间: 2026-01-14, Reason: None
603563078054311 - 加入时间: 2025-10-20, Reason: None
603564688682671 - 加入时间: 2025-12-08, Reason: None
603573479913004 - 加入时间: 2025-11-22, Reason: None
603576499823160 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
603577036670718 - 加入时间: 2025-12-13, Reason: Out_of_stock
603580794815464 - 加入时间: 2025-12-04, Reason: None
603584016054181 - 加入时间: 2026-01-12, Reason: None
603612134630487 - 加入时间: 2025-11-26, Reason: Out_of_stock
603615691421108 - 加入时间: 2025-11-28, Reason: Out_of_stock
603619449527264 - 加入时间: 2025-10-24, Reason: Blocked (Children)
603620523257725 - 加入时间: 2025-12-03, Reason: None
