================================================================================
动销品管理记录 - 2026-01-17
表名: ROA1_BE
记录时间: 2026-01-19 01:47:20
================================================================================

【统计信息】
日期：2026-01-17
前一天上升期：0个
计算上升期：2个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：2个（选定日期Status=1的数量）
差值：0个
非上升期：186个
新增上升期：0个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：2个
！！！由上升期到非上升期：0个

【由非上升期重回上升期商品ID】
商品数量: 2个
goods_id: 603658641084495, 603783933331175

【上升期商品】
商品数量: 2个

603658641084495 - 加入时间: 2026-01-11, Reason: None
603783933331175 - 加入时间: 2026-01-16, Reason: None

【非上升期商品】
商品数量: 186个

603299474433959 - 加入时间: 2025-10-18, Reason: Out_of_stock
603299474449639 - 加入时间: 2025-12-17, Reason: None
603299474460445 - 加入时间: 2025-10-06, Reason: Out_of_stock
603303769375749 - 加入时间: 2025-11-30, Reason: None
603308064377856 - 加入时间: 2026-01-17, Reason: None
603314506805344 - 加入时间: 2025-12-08, Reason: None
603316654277273 - 加入时间: 2025-10-24, Reason: None
603319338637088 - 加入时间: 2025-12-19, Reason: None
603323096733928 - 加入时间: 2026-01-02, Reason: None
603323096770789 - 加入时间: 2025-11-13, Reason: None
603330076062433 - 加入时间: 2025-11-24, Reason: None
603330076103108 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted
603333834171960 - 加入时间: 2025-12-19, Reason: None
603336518547582 - 加入时间: 2025-12-30, Reason: None
603340813472315 - 加入时间: 2025-12-27, Reason: None
603349940284830 - 加入时间: 2025-12-31, Reason: None
603362288305248 - 加入时间: 2025-11-21, Reason: None
603366583276826 - 加入时间: 2025-12-25, Reason: None
603375173213326 - 加入时间: 2025-10-20, Reason: None
603379468203210 - 加入时间: 2025-12-26, Reason: None
603393963723133 - 加入时间: 2026-01-17, Reason: None
603398795570942 - 加入时间: 2025-11-02, Reason: None
603400943026879 - 加入时间: 2025-12-06, Reason: None
603418122901194 - 加入时间: 2025-12-29, Reason: None
603418122942928 - 加入时间: 2025-12-20, Reason: None
603419733503967 - 加入时间: 2025-12-11, Reason: Secondary_traffic_restricted
603422417904713 - 加入时间: 2025-12-14, Reason: None
