================================================================================
动销品管理记录 - 2026-01-19
表名: ROA1_FR
记录时间: 2026-01-20 15:12:55
================================================================================

【统计信息】
日期：2026-01-19
前一天上升期：17个
计算上升期：17个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：0个（选定日期Status=1的数量）
差值：17个
非上升期：244个
新增上升期：0个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：0个

【非上升期商品】
商品数量: 244个

603304306268230 - 加入时间: 2025-12-21, Reason: None
603304843140287 - 加入时间: 2025-11-07, Reason: None
603314506815826 - 加入时间: 2025-11-14, Reason: Secondary_traffic_restricted
603324707343911 - 加入时间: 2025-12-07, Reason: None
603330076096248 - 加入时间: 2025-12-04, Reason: Out_of_stock
603335981648014 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
603340276600578 - 加入时间: 2025-11-01, Reason: Secondary_traffic_restricted
603340276652961 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603344034718902 - 加入时间: 2026-01-09, Reason: Secondary_traffic_restricted
603345108451752 - 加入时间: 2025-12-11, Reason: Out_of_stock
603347255981378 - 加入时间: 2025-10-05, Reason: Secondary_traffic_restricted
603355845854827 - 加入时间: 2025-12-02, Reason: Out_of_stock
603356382780120 - 加入时间: 2025-12-06, Reason: None
603356919635450 - 加入时间: 2025-12-29, Reason: Secondary_traffic_restricted
603359067084983 - 加入时间: 2025-11-19, Reason: Secondary_traffic_restricted
603363898925255 - 加入时间: 2025-12-11, Reason: None
603368193938133 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
603370341417187 - 加入时间: 2025-12-21, Reason: None
603373025725624 - 加入时间: 2025-11-08, Reason: Secondary_traffic_restricted
603374099484524 - 加入时间: 2025-10-10, Reason: Secondary_traffic_restricted
603375173266662 - 加入时间: 2025-12-02, Reason: Secondary_traffic_restricted
603378931336593 - 加入时间: 2025-11-30, Reason: Blocked
603379468218204 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
603382689420791 - 加入时间: 2025-12-02, Reason: Secondary_traffic_restricted
603384501370733 - 加入时间: 2025-11-11, Reason: Out_of_stock
603389131911086 - 加入时间: 2025-10-13, Reason: Secondary_traffic_restricted
603390205641872 - 加入时间: 2025-11-28, Reason: Secondary_traffic_restricted
603390742477987 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
603397721825365 - 加入时间: 2025-12-14, Reason: None
603397721831584 - 加入时间: 2025-12-15, Reason: None
603405774880824 - 加入时间: 2025-11-28, Reason: Secondary_traffic_restricted
603411143575212 - 加入时间: 2026-01-09, Reason: Secondary_traffic_restricted
603413827926377 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603415438528852 - 加入时间: 2025-12-01, Reason: Secondary_traffic_restricted
603415438550195 - 加入时间: 2025-12-14, Reason: None
603417049161701 - 加入时间: 2025-11-27, Reason: Secondary_traffic_restricted
603418861112625 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
603420807238222 - 加入时间: 2025-11-15, Reason: Blocked
603422954755689 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
603427249749889 - 加入时间: 2025-12-06, Reason: Out_of_stock
603428323486093 - 加入时间: 2025-11-29, Reason: Out_of_stock
603437987109575 - 加入时间: 2025-11-18, Reason: Secondary_traffic_restricted
603439597744212 - 加入时间: 2025-11-18, Reason: Out_of_stock
603440134631294 - 加入时间: 2025-11-28, Reason: None
603443355871234 - 加入时间: 2026-01-06, Reason: None
603446577070603 - 加入时间: 2025-12-06, Reason: Secondary_traffic_restricted
603449261449474 - 加入时间: 2025-11-16, Reason: Secondary_traffic_restricted
603455167002117 - 加入时间: 2025-11-16, Reason: None
603459461950163 - 加入时间: 2025-11-07, Reason: None
603459461991420 - 加入时间: 2025-11-27, Reason: Out_of_stock
603461072573322 - 加入时间: 2026-01-03, Reason: Secondary_traffic_restricted
603462683197121 - 加入时间: 2025-11-20, Reason: Secondary_traffic_restricted
603466978154121 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
603474494331923 - 加入时间: 2026-01-04, Reason: Out_of_stock
603488989848067 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted
603490600471738 - 加入时间: 2025-12-07, Reason: Secondary_traffic_restricted
603491674209893 - 加入时间: 2025-12-10, Reason: Secondary_traffic_restricted
603494895439051 - 加入时间: 2025-12-07, Reason: Secondary_traffic_restricted
603497579788318 - 加入时间: 2025-12-10, Reason: Secondary_traffic_restricted
603504290699557 - 加入时间: 2026-01-19, Reason: None
603504559124986 - 加入时间: 2025-12-01, Reason: None
603508317235721 - 加入时间: 2025-12-12, Reason: Secondary_traffic_restricted
603514222811762 - 加入时间: 2025-11-03, Reason: None
603517444039581 - 加入时间: 2026-01-03, Reason: None
603517980908144 - 加入时间: 2025-11-22, Reason: Secondary_traffic_restricted
603523886455184 - 加入时间: 2025-11-10, Reason: None
603528718302167 - 加入时间: 2025-11-09, Reason: Secondary_traffic_restricted
603538650443087 - 加入时间: 2025-12-07, Reason: Blocked
603539992606934 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
603539992639480 - 加入时间: 2025-11-19, Reason: Secondary_traffic_restricted
603559856814089 - 加入时间: 2025-11-29, Reason: Out_of_stock
603559856854534 - 加入时间: 2025-12-12, Reason: Secondary_traffic_restricted
603560930566571 - 加入时间: 2026-01-04, Reason: Blocked
603561467462356 - 加入时间: 2025-12-06, Reason: Out_of_stock
603568983650530 - 加入时间: 2025-11-28, Reason: None
603571131100345 - 加入时间: 2025-12-24, Reason: None
603577573559272 - 加入时间: 2026-01-05, Reason: None
603581331696782 - 加入时间: 2026-01-04, Reason: Out_of_stock
603585089756787 - 加入时间: 2025-11-18, Reason: None
603585089761580 - 加入时间: 2025-11-30, Reason: None
603585626610202 - 加入时间: 2025-11-14, Reason: Secondary_traffic_restricted
603587237261455 - 加入时间: 2025-11-08, Reason: Secondary_traffic_restricted
603588311003574 - 加入时间: 2025-11-07, Reason: None
603593679695418 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
603599585305781 - 加入时间: 2025-11-15, Reason: Secondary_traffic_restricted
603605490860706 - 加入时间: 2025-11-25, Reason: Out_of_stock
603607369934273 - 加入时间: 2025-10-21, Reason: Secondary_traffic_restricted
603613007061098 - 加入时间: 2025-11-30, Reason: Secondary_traffic_restricted
603614617687123 - 加入时间: 2025-12-29, Reason: Blocked
603625019557210 - 加入时间: 2025-11-30, Reason: None
603628039436553 - 加入时间: 2025-12-28, Reason: None
603635555641004 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted
603636092482087 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted (Blocked)
603641461207901 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
603641998051661 - 加入时间: 2025-12-04, Reason: None
603645219321780 - 加入时间: 2025-12-18, Reason: None
603649514279178 - 加入时间: 2025-11-06, Reason: Secondary_traffic_restricted
603662936035097 - 加入时间: 2025-11-30, Reason: None
603666694163632 - 加入时间: 2025-12-05, Reason: Secondary_traffic_restricted
603667969206469 - 加入时间: 2025-11-15, Reason: None
603667969208939 - 加入时间: 2025-11-20, Reason: None
603669378501858 - 加入时间: 2026-01-03, Reason: Secondary_traffic_restricted
603669378515544 - 加入时间: 2025-10-16, Reason: Secondary_traffic_restricted
603679579072654 - 加入时间: 2025-11-18, Reason: Secondary_traffic_restricted
603685484647721 - 加入时间: 2025-11-22, Reason: Secondary_traffic_restricted
603693269278525 - 加入时间: 2025-10-22, Reason: Secondary_traffic_restricted
603703738228572 - 加入时间: 2025-12-18, Reason: None
603715549393446 - 加入时间: 2025-10-01, Reason: Secondary_traffic_restricted
603720381250504 - 加入时间: 2025-10-26, Reason: Secondary_traffic_restricted
603721991872556 - 加入时间: 2025-11-21, Reason: Secondary_traffic_restricted
603725213087312 - 加入时间: 2025-11-06, Reason: Out_of_stock
603726286796911 - 加入时间: 2025-10-29, Reason: Secondary_traffic_restricted
603732192426303 - 加入时间: 2025-12-18, Reason: None
603753130341076 - 加入时间: 2025-12-17, Reason: None
603754740945428 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
603761183451960 - 加入时间: 2025-12-06, Reason: Secondary_traffic_restricted
603764941521519 - 加入时间: 2025-12-14, Reason: None
603766015289520 - 加入时间: 2025-12-05, Reason: Secondary_traffic_restricted
603775678955772 - 加入时间: 2025-11-10, Reason: Secondary_traffic_restricted
603780292666097 - 加入时间: 2025-12-06, Reason: None
603788563854650 - 加入时间: 2025-11-01, Reason: Secondary_traffic_restricted
603791785064203 - 加入时间: 2025-12-21, Reason: None
