================================================================================
动销品管理记录 - 2026-01-27
表名: ROA1_FR
记录时间: 2026-01-28 15:02:00
================================================================================

【统计信息】
日期：2026-01-27
前一天上升期：3个
计算上升期：3个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：3个（选定日期Status=1的数量）
差值：0个
非上升期：446个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：1个
！！！由上升期到非上升期：2个

【新增上升期商品ID】
商品数量: 1个
goods_id: 603614080792249

【由非上升期重回上升期商品ID】
商品数量: 1个
goods_id: 603517444021618

【！！！由上升期到非上升期商品ID】
商品数量: 2个
goods_id: 603512075325776, 604043577549363

【上升期商品】
商品数量: 3个

603517444021618 - 加入时间: 2025-12-20, Reason: Secondary_traffic_restricted (0127)
603614080792249 - 加入时间: 2026-01-27, Reason: Secondary_traffic_restricted (0127)
604276042634923 - 加入时间: 2026-01-25, Reason: Secondary_traffic_restricted (0127)

【非上升期商品】
商品数量: 446个

603302695664017 - 加入时间: 2025-12-22, Reason: Secondary_traffic_restricted (0127)
603304306268230 - 加入时间: 2025-12-21, Reason: None
603304843140287 - 加入时间: 2025-11-07, Reason: None
603306990610108 - 加入时间: 2025-12-17, Reason: Normal (Blocking_0127)
603308064353362 - 加入时间: 2025-12-19, Reason: Secondary_traffic_restricted (0126)
603310211864131 - 加入时间: 2026-01-21, Reason: Secondary_traffic_restricted (0127)
603314506815826 - 加入时间: 2025-11-14, Reason: Secondary_traffic_restricted
603323633629387 - 加入时间: 2025-12-19, Reason: None
603323633637769 - 加入时间: 2025-11-24, Reason: Secondary_traffic_restricted
603324707343911 - 加入时间: 2025-12-07, Reason: None
603326318000762 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted
603327391744002 - 加入时间: 2026-01-22, Reason: Secondary_traffic_restricted (0127)
603329539223084 - 加入时间: 2026-01-02, Reason: Secondary_traffic_restricted
603330076096248 - 加入时间: 2025-12-04, Reason: Out_of_stock
603335981648014 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
603340276600578 - 加入时间: 2025-11-01, Reason: Secondary_traffic_restricted
603340276652961 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
